Word,Translation
snag,препятствие/коряга
insurmountable,непреодолимый
hone,затачивать/полировать
smithereens,осколки
cocksure,вполне уверенный
doable,выполнимый
stumble upon,наткнуться на
distortion,искажение
faction,фракция/клика
predicament,затруднительное положение
demotion,понижение в должности
lure,соблазн/приманка
sweat,пот
vomit,рвота/рвать
knack,ловкость/умение
bristle,ерепениться
undergo,подвергаться
reconcile,согласовывать
slavish,рабский
impose,навязывать/налагать
savvy,здравый смысл
inclination,наклонность/уклон
recite,декламировать/читать вслух
veer,менять направление
soar,парить/витать
stumble,спотыкаться
retain,сохранять/удерживать
lackluster,тусклый/безжизенный
relish,наслаждаться/смаковать
deride,высмеивать/насмехаться
stint,срок службы
captivate,очаровывать/пленять
seize,воспользоваться/схватить
flee,бежать/спасаться бегством
undermine,подрывать/разрушать
respite,передышка/давать отстрочку
disclose,раскрывать/разоблачать
shove,толчок/толкать
concrete,бетон
jaunt,прогулка
audacious,смелый/дерзкий
brake,тормоз
vow,обет/клятва
dodge,уклоняться
overseas,заграничный/за рубежом
flaw,недостаток/изъян
yearning,тоска/сильное желание
temptation,искушение/соблазн
feat,подвиг
compulsion,принуждение
endear,предрасположить к себе
toddler,ползунок/ребенок
tranquility,спокойствие
swear,ругаться/клясться
interference,помехи/вмешательство
